Junction,Date,Time,Direction,car,motorbike,bus,truck,total
0,01-11-2023,10:45:00,1,0,0,0,0,0
0,01-11-2023,10:45:00,2,0,0,0,1,1
0,01-11-2023,10:45:00,3,4,1,0,1,6
0,01-11-2023,10:45:00,4,2,0,0,0,2
0,01-11-2023,10:46:00,1,0,0,0,0,0
0,01-11-2023,10:46:00,2,0,2,0,1,3
0,01-11-2023,10:46:00,3,1,2,0,0,3
0,01-11-2023,10:46:00,4,4,3,0,0,7
0,01-11-2023,10:47:00,1,0,0,0,0,0
0,01-11-2023,10:47:00,2,0,1,0,2,3
0,01-11-2023,10:47:00,3,0,1,0,1,2
0,01-11-2023,10:47:00,4,0,0,0,0,0
0,01-11-2023,10:48:00,1,0,0,0,0,0
0,01-11-2023,10:48:00,2,0,5,3,0,8
0,01-11-2023,10:48:00,3,0,0,1,0,1
0,01-11-2023,10:48:00,4,1,0,0,1,2
0,01-11-2023,10:49:00,1,0,0,0,0,0
0,01-11-2023,10:49:00,2,0,1,0,0,1
0,01-11-2023,10:49:00,3,1,1,0,0,2
0,01-11-2023,10:49:00,4,3,0,0,1,4
0,01-11-2023,10:50:00,1,0,0,0,0,0
0,01-11-2023,10:50:00,2,0,1,0,0,1
0,01-11-2023,10:50:00,3,2,5,0,2,9
0,01-11-2023,10:50:00,4,2,0,0,0,2
0,01-11-2023,10:51:00,1,0,0,0,0,0
0,01-11-2023,10:51:00,2,0,2,3,0,5
0,01-11-2023,10:51:00,3,1,0,0,0,1
0,01-11-2023,10:51:00,4,6,1,0,0,7
0,01-11-2023,10:52:00,1,0,0,0,0,0
0,01-11-2023,10:52:00,2,1,1,0,0,2
0,01-11-2023,10:52:00,3,3,1,0,0,4
0,01-11-2023,10:52:00,4,0,0,0,0,0
0,01-11-2023,10:53:00,1,0,0,0,0,0
0,01-11-2023,10:53:00,2,0,2,1,0,3
0,01-11-2023,10:53:00,3,0,1,1,0,2
0,01-11-2023,10:53:00,4,2,2,0,0,4
